additional_feature,anti_lock_braking_system_abs_,assemble_in,battery_ip_rating,battery_type,battery_voltage,best_lube_for,bike_name,bike_type,bore,braking_system,brand,brand_origin,cc,charging_point,charging_time,chassis_type,clutch_type,compression_ratio,displacement,distributor_seller,drive_type,engine_cooling,engine_kill_switch,engine_oil_capacity,engine_oil_grade,engine_type,fast_charging,front_brake_diameter,front_brake_type,front_suspension,front_tyre_size,fuel_supply,fuel_tank_capacity,ground_clearance,handle_type,head_light,height,indicators,input_voltage,launched_date,load_capacity,made_in,maximum_power,maximum_torque,mileage,mobile_connectivity,model_year,motor_ip_rating,motor_power,motor_type,no_of_cylinders,no_of_gears,odometer,overall_length,overall_width,page,passenger_grab_rail,range,rear_brake_diameter,rear_brake_type,rear_suspension,rear_tyre_size,regular_price,rpm_meter,seat_height,seat_type,speedometer,starting_method,stroke,tail_light,top_speed,transmission_type,tyre_type,url,valves,weight,wheel_type,wheelbase
N/A,No,N/A,N/A,Graphene-Battery,96V 35AH,N/A,Revoo E52,Electric Scooter,N/A,CBS,REVOO,N/A,N/A,N/A,8-10 Hour,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,Single Disc,Telescopic,120/90-12,N/A,N/A,145 Mm,Conventional,LED,1240 Mm,led,N/A,2025-06-04,N/A,N/A,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,3000 W,N/A,N/A,N/A,digital,1970 Mm,730 Mm,https://www.bikebd.com/all-ev?page=3,yes,110 km/charge,N/A,Disc Brake,Hydraulic,120/70-12,225900,Digital,N/A,Single-Seat,digital,Electric,N/A,led,75 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/revoo-e52/specifications,N/A,175 KG,Alloy,1380 Mm
"Reverse Gear, Bluetooth Connection, APP Control Traction Control System, Regenerative Braking System",No,N/A,N/A,Graphene-Battery,72V/38AH,N/A,Yadea GT60,Electric Scooter,N/A,Disc Brake,Yadea,N/A,N/A,Yes,N/A,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,Single Disc,Hydraulic shock absorption,3.00-12,N/A,N/A,132 Mm,Scooter Type,LED,1880 Mm,led,N/A,2025-05-25,N/A,N/A,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,1500W,Brushless DC,N/A,N/A,digital,1860 Mm,775 Mm,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Disc Brake,Dual Shock Absorber,3.00-10,167000,Digital,N/A,Single-Seat,digital,Electric,N/A,led,55 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/yadea-gt60/specifications,N/A,N/A,Alloy,1296 Mm
"TTFAR Graphene Battery (3x Battery Life), 32L Ample Storage Space.",No,N/A,N/A,Graphene-Battery,72V38AH,N/A,Yadea 8S200,Electric Scooter,N/A,Disc Brake,Yadea,N/A,N/A,N/A,N/A,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,Single Disc,Hydraulic shock absorption,3.00-10,N/A,N/A,110 Mm,Scooter Type,LED,1165 Mm,led,N/A,2025-05-25,N/A,N/A,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,1000W,DC Brushless,N/A,N/A,digital,1830 Mm,710 Mm,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Disc Brake,Dual Shock Absorber,3.00-10,175000,Digital,740 Mm,Single-Seat,digital,Electric,N/A,led,42 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/yadea-8s200/specifications,N/A,N/A,Alloy,1285 Mm
N/A,No,N/A,N/A,Lithium-ion,72V30Ah,N/A,Yadea Velax,Electric Scooter,N/A,CBS Braking,Yadea,N/A,N/A,N/A,N/A,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,Single Disc,Hydraulic shock absorption,90/90 - 14,N/A,N/A,N/A,Scooter Type,LED,1097 Mm,led,N/A,2025-05-25,N/A,N/A,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,3000W,DC Brushless,N/A,N/A,digital,1944 Mm,704 Mm,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Disc Brake,Dual Shock Absorber,100/90-14,247000,Digital,N/A,Single-Seat,digital,N/A,N/A,led,62 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/yadea-velax/specifications,N/A,N/A,Alloy,1331 Mm
N/A,No,N/A,N/A,Graphene-Battery,72V 26Ah,N/A,Revoo A12-S,Electric Scooter,N/A,N/A,REVOO,China,N/A,N/A,N/A,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,Single Disc,Hydraulic suspension,3.0-10,N/A,N/A,140 Mm,Scooter Type,LED,1170 Mm,led,N/A,2025-05-19,N/A,N/A,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,1000W,N/A,N/A,N/A,digital,1780 Mm,750 Mm,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Drum Brake,Info Not Available,3.0-10,105900,Digital,N/A,Single-Seat,digital,Electric,N/A,led,45 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/revoo-a12-s/specifications,N/A,100.0 kg,Alloy,1265 Mm
N/A,No,N/A,N/A,Graphene-Battery,72V35Ah,N/A,Revoo C32-Y,Electric Scooter,N/A,Disc,REVOO,N/A,N/A,N/A,N/A,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,Single Disc,Info Not Available,N/A,N/A,N/A,N/A,Scooter Type,LED,N/A,led,N/A,2025-03-25,N/A,N/A,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,digital,N/A,N/A,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Disc Brake,Info Not Available,N/A,129900,Digital,N/A,Single-Seat,digital,Electric,N/A,led,55 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/revoo-c32-y/specifications,N/A,N/A,Alloy,N/A
N/A,No,N/A,N/A,Graphene-Battery,"48 V, 20 Ah",N/A,EZ GO Cruiser,Electric Scooter,N/A,Single Disc,EZ-GO,N/A,N/A,N/A,6-8 Hr,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,Info-Not-Available,N/A,N/A,N/A,N/A,N/A,Single Disc,Hydraulic Shock,16-2.5,N/A,N/A,N/A,Scooter Type,LED,N/A,led,N/A,N/A,N/A,N/A,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,450W,N/A,N/A,N/A,digital,N/A,N/A,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Drum Brake,Dual Shock Absorber,16-2.5,85888,Digital,N/A,Single-Seat,digital,Electric,N/A,led,45 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/ez-go-cruiser/specifications,N/A,N/A,Alloy,N/A
N/A,No,N/A,N/A,Graphene-Battery,72V32Ah,N/A,EZ GO Xplorer,Electric Scooter,N/A,Disc Brake,EZ-GO,N/A,N/A,Yes,7-9 Hr,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,Info-Not-Available,N/A,N/A,N/A,N/A,N/A,Single Disc,Info Not Available,90/80-12,N/A,N/A,N/A,Scooter Type,LED,N/A,led,72V 4.5A,N/A,N/A,N/A,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,1500W,N/A,N/A,N/A,digital,N/A,N/A,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Disc Brake,Info Not Available,90/80-12,123888,Digital,N/A,Single-Seat,digital,Electric,N/A,led,55 Kmph (Approx) ,Manual,tubeless,https://www.bikebd.com/price/ez-go-xplorer/specifications,N/A,N/A,Alloy,N/A
"Burglar Alarm, USB Charging Port",No,N/A,N/A,Graphene-Battery,72V20Ah,N/A,EZ GO HUNTER,Electric Scooter,N/A,Single Disc,EZ-GO,China,N/A,Yes,6-8 Hr,N/A,Info Not Available,N/A,N/A,,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,Single Disc,Hydraulic,3.0-10,N/A,N/A,N/A,Scooter Type,LED,N/A,led,72V3A,N/A,N/A,China,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,1500W,N/A,N/A,N/A,digital,N/A,N/A,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Drum Brake,Dual Shock Absorber,3.0-10,108888,Digital,N/A,Single-Seat,digital,Electric,N/A,led,55 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/ez-go-hunter/specifications,N/A,N/A,Alloy Wheels,N/A
N/A,No,N/A,N/A,Graphene-Battery,60V 23Ah,N/A,EZ GO FAMILY,Electric Scooter,N/A,N/A,EZ-GO,China,N/A,Yes,N/A,N/A,Automatic Clutch,N/A,N/A,,N/A,N/A,Info-Not-Available,N/A,N/A,N/A,N/A,N/A,Single Disc,Hydraulic Suspension,N/A,N/A,N/A,N/A,Scooter Type,LED,N/A,led,60V 3A,N/A,N/A,China,0 Bhp @ 0 RPM ,0 NM @ 0 RPM ,0 Kmpl (Approx) ,N/A,N/A,N/A,650W,N/A,N/A,N/A,digital,N/A,N/A,https://www.bikebd.com/all-ev?page=3,yes,N/A,N/A,Drum Brake,Info Not Available,N/A,139888,Digital,N/A,Single-Seat,digital,Electric,N/A,led,40 Kmph (Approx) ,Auto,tubeless,https://www.bikebd.com/price/ez-go-family/specifications,N/A,N/A,Alloy,N/A
